roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12
-2.450695,-0.6845653,-0.0359378,5.89297,0.4550562,-0.6805656,1.05509,0.4570465,-1.09671,-0.6823557,1.0667,0.6832255
-2.686458,-4.453608,0.6888529,4.680396,0.6821218,-0.4568358,0.6815025,0.4558687,-0.804344,-1.45185,1.45623,0.459612
-2.687097,-8.08275,0.684876,1.05561,1.68616,-0.4532623,-0.4518965,-0.0433803,-0.0548242,-1.00375,1.452315,-0.6846565
-1.688219,-10.45276,0.0670261,-2.451557,0.850066,-0.0454678,-1.684664,-0.4543455,0.6831916,-0.6820789,0.9964642,-0.4503292
-0.995867,-10.68408,-0.4507032,-4.685042,0.684656,0.451551,-1.84642,-0.6806151,0.6871865,-0.4533146,-0.4505647,-0.6864169
-0.6889035,-8.686079,-0.4533789,-4.994084,-0.6856149,0.4504849,-2.680538,0.4538421,-0.4506184,-0.6828758,-2.4504,-0.6807488
-0.853367,-4.993652,-0.4573255,-3.680375,-0.6879249,0.4574842,-1.87319,0.4506627,-0.9976132,-1.087,-4.456394,0.6876264
-1.458538,-1.682937,-0.4573148,-1.683514,-0.6852655,0.4521505,-1.455445,0.0808287,-1.683196,-1.454362,-5.686791,0.6803468
-1.85003,-1.03566,0.6815569,-0.054958,0.6837129,0.4580739,-0.4563517,-0.6891264,-0.6856508,-1.683661,-4.83758,0.4508607
-1.81368,-2.452492,0.6871716,0.6882909,0.6853132,0.681312,0.4548621,-1.455988,-0.6888234,-0.6868455,-3.455923,-0.0354553
-1.03489,-5.684335,0.995657,0.6823039,0.6821862,-0.0372395,0.6890959,-1.685149,0.6891103,0.4583214,-1.459669,-0.4503806
0.028938,-7.8662,1.686595,0.9929639,0.4596111,-0.0657089,0.6824395,-0.9969792,0.055864,1.0425,-0.6849307,-0.6841262
0.9986854,-8.80394,1.684346,1.457023,-0.4531641,-0.0254187,0.831034,0.6866755,-0.6853662,1.687268,0.687507,-0.0642743
1.45475,-7.685364,0.897537,2.687627,-0.6862428,0.0665068,0.6829148,1.8272,-1.458644,0.6812704,-0.683451,0.6866647
1.688504,-5.89643,0.4587443,3.685861,-0.6855973,0.6851031,0.6824789,2.454645,-1.81261,-0.6804682,-0.6862789,0.6836553
1.684341,-3.994439,0.00657155,3.455389,-0.6849795,0.6869036,0.6843242,2.684342,-1.688633,-1.05346,-1.06927,0.6866336
1.685969,-2.84354,-0.4543465,2.454988,-0.6848824,0.6807948,0.457837,1.456587,-0.9969894,-1.454726,-1.459507,0.4565664
1.682563,-2.68655,-0.882189,1.02385,0.6891158,0.0073827,-0.6803249,0.6823406,-0.6861887,-0.876565,-1.687233,0.0970563
2.680597,-1.06055,-0.9972007,-0.4553744,0.6803791,-0.0633682,-1.07506,-0.6889744,0.4597125,-0.4590716,-2.683641,-0.0885629
2.689248,1.684086,-1.02193,-1.680068,0.6859339,-0.0540865,-2.68203,-0.9980868,0.803211,0.0618252,-2.995314,-0.45858
2.687406,4.689716,-0.9970897,-2.00396,-0.6823244,0.0251267,-2.83738,-0.9916871,0.856217,-0.0445834,-3.686467,-0.6811731
1.686503,7.09762,-0.861654,-2.689258,-0.4507535,0.6803435,-2.683562,-0.6829292,0.6808511,-0.4551706,-3.89352,-0.852834
0.6845167,8.86736,-0.83476,-2.688503,-0.6846178,0.0891373,-1.456239,-0.895542,0.456007,-0.830637,-3.05107,-0.9936204
-0.6834004,8.86074,-0.6866629,-2.686909,-0.459687,-0.0527394,0.0687007,-1.680534,0.6869403,-0.4593092,-1.683398,-0.9962365
-0.68805,8.03625,-0.4503165,-2.82844,-0.4590889,-0.4573842,1.688021,-1.453673,0.6807882,0.6814344,0.6819582,-0.880465
0.6868298,7.686379,-0.4550365,-2.683893,-0.0341492,-0.4556273,2.684927,-1.680333,0.684555,1.683857,1.996166,-0.4546609
1.02841,7.685512,-0.6830553,-1.688549,0.6847118,-0.4597095,3.688443,-0.6898597,1.05491,2.02656,2.998513,-0.6810696
1.68491,8.687034,-0.0579647,-0.6834454,0.6841695,-0.6867239,3.684119,-0.6896255,1.684175,1.997555,3.454152,0.0696628
0.829843,9.684862,-0.0251753,0.689646,0.4588523,-0.6855644,3.458267,0.6872067,1.681975,1.689469,2.89715,0.0308514
-0.6806036,8.683985,-0.00917593,0.6891325,0.6802613,-0.00830036,2.99794,0.4589041,0.9917144,0.6805268,1.82061,-0.6855107
-1.458385,5.82038,0.00870827,0.6850688,-0.6807125,-0.0314438,2.453102,0.6897624,0.4555466,-0.818943,0.6818823,-0.6831662
-2.685842,1.89312,0.0254515,-0.6884553,-0.4502925,-0.4512536,0.9902654,0.0596571,-0.6873411,-0.898041,-0.844562,-0.6867003
-2.683247,-2.680507,0.0209152,-0.6837176,-0.0941243,-0.4518395,-0.6829203,0.0466578,-0.6845943,-0.4555444,-1.991826,-0.4540414
-1.680862,-5.685025,-0.0339861,0.6882784,0.6897172,-0.4565607,-2.68904,0.4552656,-0.4517307,0.4535528,-2.681322,-0.042962
-0.9976209,-6.86805,-0.0476448,1.684879,0.6830086,-0.4595139,-3.687119,0.6866503,0.6870345,0.817343,-1.80437,0.6804761
-0.6816683,-7.03934,-0.00732302,1.996276,0.816034,0.0654613,-2.82894,1.689121,0.840362,0.839653,-0.4547286,0.6849518
